动漫名称,动漫ID,动漫标题,动漫URL,有无漫画/小说,人气,收藏数,评分,作者
妖道至尊,646783,妖道至尊番外篇,https://ac.qq.com/Comic/comicInfo/id/646783,1,38.6万,1421,9.5,乐游映画 
斗破苍穹,531040,斗破苍穹,https://ac.qq.com/Comic/comicInfo/id/531040,1,234.1亿,6097803,9.2,知音漫客 x 任翔 
小绿和小蓝,536332,小绿和小蓝,https://ac.qq.com/Comic/comicInfo/id/536332,1,89亿,977561,9.9,Ocarina 
第一序列,650662,第一序列,https://ac.qq.com/Comic/comicInfo/id/650662,1,51.5亿,696288,9.7,Restar x 肘子 
小绿和小蓝,536332,小绿和小蓝,https://ac.qq.com/Comic/comicInfo/id/536332,1,89亿,977561,9.9,Ocarina 
天界代购店,644041,天界代购店,https://ac.qq.com/Comic/comicInfo/id/644041,1,52.8亿,595051,9.4,知音漫客 
不死不灭,655874,多杀我几次，我就无敌了,https://ac.qq.com/Comic/comicInfo/id/655874,1,3.9亿,64498,9,刺猬猫漫画 
年,644515,炼气练了三千年,https://ac.qq.com/Comic/comicInfo/id/644515,1,145.4亿,1393055,9.8,刺猬猫漫画 
路,630136,最强反套路系统,https://ac.qq.com/Comic/comicInfo/id/630136,1,52.4亿,1906912,9.6,初樱社 x 猪皮 
盐友,655835,盐友,https://ac.qq.com/Comic/comicInfo/id/655835,1,2.4亿,211113,9.8,京见 x 有狐文化 
小绿和小蓝,536332,小绿和小蓝,https://ac.qq.com/Comic/comicInfo/id/536332,1,89亿,977561,9.9,Ocarina 
超级微信,641368,超级微信,https://ac.qq.com/Comic/comicInfo/id/641368,1,12.4亿,323276,8.8,神鱼漫社 
史上最强,629116,史上最强,https://ac.qq.com/Comic/comicInfo/id/629116,1,13.9亿,490804,8.7,拾部的部 
我的弟子都超神,649240,我的弟子都超神,https://ac.qq.com/Comic/comicInfo/id/649240,1,23亿,491043,9.6,口袋宇宙 x 时光鱼文化 
万古第一神,653576,万古第一神,https://ac.qq.com/Comic/comicInfo/id/653576,1,18.6万,1392,6.9,陈星乐 
牧神记,642303,牧神记,https://ac.qq.com/Comic/comicInfo/id/642303,1,1.5亿,154971,5.6,李晓楠 
斗破苍穹,531040,斗破苍穹,https://ac.qq.com/Comic/comicInfo/id/531040,1,234.1亿,6097803,9.2,知音漫客 x 任翔 
万渣朝凰,639131,万渣朝凰,https://ac.qq.com/Comic/comicInfo/id/639131,1,389.9亿,2624587,9.8,时代漫王 
万渣朝凰,639131,万渣朝凰,https://ac.qq.com/Comic/comicInfo/id/639131,1,389.9亿,2624587,9.8,时代漫王 
万渣朝凰,639131,万渣朝凰,https://ac.qq.com/Comic/comicInfo/id/639131,1,389.9亿,2624587,9.8,时代漫王 
万渣朝凰,639131,万渣朝凰,https://ac.qq.com/Comic/comicInfo/id/639131,1,389.9亿,2624587,9.8,时代漫王 
炼气练了三千年,644515,炼气练了三千年,https://ac.qq.com/Comic/comicInfo/id/644515,1,145.4亿,1393055,9.8,刺猬猫漫画 
炼气练了三千年,644515,炼气练了三千年,https://ac.qq.com/Comic/comicInfo/id/644515,1,145.4亿,1393055,9.8,刺猬猫漫画 
炼气练了三千年,644515,炼气练了三千年,https://ac.qq.com/Comic/comicInfo/id/644515,1,145.4亿,1393055,9.8,刺猬猫漫画 
赘婿,652975,史上最强赘婿,https://ac.qq.com/Comic/comicInfo/id/652975,1,22.5亿,343482,9,午后漫画 
精灵梦叶罗丽,643993,精灵梦叶罗丽,https://ac.qq.com/Comic/comicInfo/id/643993,1,1545.5万,22434,7.2,精英动漫 
精灵梦叶罗丽,643993,精灵梦叶罗丽,https://ac.qq.com/Comic/comicInfo/id/643993,1,1545.5万,22434,7.2,精英动漫 
精灵梦叶罗丽,643993,精灵梦叶罗丽,https://ac.qq.com/Comic/comicInfo/id/643993,1,1545.5万,22434,7.2,精英动漫 
精灵梦叶罗丽,643993,精灵梦叶罗丽,https://ac.qq.com/Comic/comicInfo/id/643993,1,1545.5万,22434,7.2,精英动漫 
精灵梦叶罗丽,643993,精灵梦叶罗丽,https://ac.qq.com/Comic/comicInfo/id/643993,1,1545.5万,22434,7.2,精英动漫 
精灵梦叶罗丽,643993,精灵梦叶罗丽,https://ac.qq.com/Comic/comicInfo/id/643993,1,1545.5万,22434,7.2,精英动漫 
精灵梦叶罗丽,643993,精灵梦叶罗丽,https://ac.qq.com/Comic/comicInfo/id/643993,1,1545.5万,22434,7.2,精英动漫 
精灵梦叶罗丽,643993,精灵梦叶罗丽,https://ac.qq.com/Comic/comicInfo/id/643993,1,1545.5万,22434,7.2,精英动漫 
精灵梦叶罗丽,643993,精灵梦叶罗丽,https://ac.qq.com/Comic/comicInfo/id/643993,1,1545.5万,22434,7.2,精英动漫 
我叫MT,536858,我叫MT之时光之穴,https://ac.qq.com/Comic/comicInfo/id/536858,1,95.2万,1049,7.9,神居动漫 
赛尔号,650535,赛尔号同人漫画,https://ac.qq.com/Comic/comicInfo/id/650535,1,39.8万,609,,未来的诗蔻蒂 
赛尔号,650535,赛尔号同人漫画,https://ac.qq.com/Comic/comicInfo/id/650535,1,39.8万,609,,未来的诗蔻蒂 
赛尔号,650535,赛尔号同人漫画,https://ac.qq.com/Comic/comicInfo/id/650535,1,39.8万,609,,未来的诗蔻蒂 
赛尔号,650535,赛尔号同人漫画,https://ac.qq.com/Comic/comicInfo/id/650535,1,39.8万,609,,未来的诗蔻蒂 
赛尔号,650535,赛尔号同人漫画,https://ac.qq.com/Comic/comicInfo/id/650535,1,39.8万,609,,未来的诗蔻蒂 
赛尔号,650535,赛尔号同人漫画,https://ac.qq.com/Comic/comicInfo/id/650535,1,39.8万,609,,未来的诗蔻蒂 
赛尔号,650535,赛尔号同人漫画,https://ac.qq.com/Comic/comicInfo/id/650535,1,39.8万,609,,未来的诗蔻蒂 
赛尔号,650535,赛尔号同人漫画,https://ac.qq.com/Comic/comicInfo/id/650535,1,39.8万,609,,未来的诗蔻蒂 
一,531490,一人之下,https://ac.qq.com/Comic/comicInfo/id/531490,1,324.8亿,6828631,9.8,米橙子 x 米二 
休,647759,傲娇奶爸休想逃,https://ac.qq.com/Comic/comicInfo/id/647759,1,44.5亿,830969,9.8,冬漫社 x 冬漫菌 
龙门,654005,鱼跃龙门,https://ac.qq.com/Comic/comicInfo/id/654005,1,28.8万,19,,桃花剑客 
出口,652124,说不出口的爱意,https://ac.qq.com/Comic/comicInfo/id/652124,1,149.5万,1583,7.9,SMC 
宝莲灯,532259,宝莲灯,https://ac.qq.com/Comic/comicInfo/id/532259,1,3.6万,51,,吃瓜群众 
小和尚,628831,一禅小和尚,https://ac.qq.com/Comic/comicInfo/id/628831,1,5亿,100352,9.9,一禅小和尚 
小绿和小蓝,536332,小绿和小蓝,https://ac.qq.com/Comic/comicInfo/id/536332,1,89亿,977561,9.9,Ocarina 
东郭先生,532302,东郭先生,https://ac.qq.com/Comic/comicInfo/id/532302,1,1.1万,13,,吃瓜群众 
狼来了,630799,狼来了,https://ac.qq.com/Comic/comicInfo/id/630799,1,9269.3万,17259,8.9,两只猫先生 
曹冲称象,532262,曹冲称象,https://ac.qq.com/Comic/comicInfo/id/532262,1,4.5万,29,,吃瓜群众 
