所属动漫,视频标题,播放量,弹幕数,收藏数,UP主,标签,bvid,url
长安三万里,"长安三万里狂草<em class=""keyword"">张旭</em>",1343,0,3,君君杰睿,"唐朝,长安,影视剪辑,长安三万里,长安三万里大唐欢迎你,狂草张旭",BV13N41127Yc,https://www.bilibili.com/video/BV13N41127Yc
长安三万里,我敢说，90%的国人根本不了解李白,8918945,3857,157502,布衣探案,"中国,文化,中国风,唐朝,李白,影视剪辑,高适,追光,长安三万里,电影长安三万里,长安三万里大唐欢迎你",BV1WV4y187CK,https://www.bilibili.com/video/BV1WV4y187CK
长安三万里,《长安三万里》|“我本桀骜少年臣，不信鬼神不信人”,515199,317,8830,福克纳ai,"杜甫,少年,长安,李白,混剪,影视剪辑,高适,让酒,长安三万里,我在B站看动画节",BV1614y1z7yr,https://www.bilibili.com/video/BV1614y1z7yr
长安三万里,杜甫高适20多年后再相见，第一件事竟然是去追星李白,300245,85,2146,毛豆酱の,"电影,杜甫,唐朝,李白,影视剪辑,相见,长安三万里",BV1iu411a7C2,https://www.bilibili.com/video/BV1iu411a7C2
长安三万里,杜甫高适20多年后再相见，第一件事竟然是去追星李白,300245,85,2146,毛豆酱の,"电影,杜甫,唐朝,李白,影视剪辑,相见,长安三万里",BV1iu411a7C2,https://www.bilibili.com/video/BV1iu411a7C2
长安三万里,"【将进酒】披哥笑风生×长安三万里 琴心剑胆公子楚 万古同杯<em class=""keyword"">李太白</em> 舞台混剪re大杂烩 陈楚生×蔡国庆×李玖哲×王栎鑫×宝石Gem老舅×罗杰夫",3433,1,5,谁说酒菜不能当捧花,"陈楚生,将进酒,李玖哲,王栎鑫,蔡国庆,舞台混剪,罗杰夫,宝石Gem,长安三万里,全能追星企划,全能追星企划3.0",BV1dQ4y187Wz,https://www.bilibili.com/video/BV1dQ4y187Wz
长安三万里,《长安三万里》|“我本桀骜少年臣，不信鬼神不信人”,515199,317,8830,福克纳ai,"杜甫,少年,长安,李白,混剪,影视剪辑,高适,让酒,长安三万里,我在B站看动画节",BV1614y1z7yr,https://www.bilibili.com/video/BV1614y1z7yr
长安三万里,"我敢说，90%的国人根本不了解<em class=""keyword"">李白</em>",8918945,3857,157502,布衣探案,"中国,文化,中国风,唐朝,李白,影视剪辑,高适,追光,长安三万里,电影长安三万里,长安三万里大唐欢迎你",BV1WV4y187CK,https://www.bilibili.com/video/BV1WV4y187CK
长安三万里,长安三万里“大唐盛世·梦回长安”独属我们中国人的浪漫！,2132569,1743,25269,FUSION-TV,"中国,长安,电影剪辑,李白,4K,影视剪辑,追光,大唐盛世,FUSION-TV,长安三万里,长安三万里大唐欢迎你",BV1Cm4y1J7Uj,https://www.bilibili.com/video/BV1Cm4y1J7Uj
长安三万里,"“人生短暂，知己难遇…”｜长安三万里·<em class=""keyword"">李白</em>和高适的神仙友谊",107013,117,4797,wink-烨,"电影,唐朝,国漫,李白,影视剪辑,追光动画,高适,神仙友谊,长安三万里,电影长安三万里,长安三万里大唐欢迎你",BV1SN411S7wR,https://www.bilibili.com/video/BV1SN411S7wR
长安三万里,"【长安三万里|<em class=""keyword"">李白</em>高适友情向同人手书】City Of Stars",95033,171,7493,叶桦耶,"手书,李白,历史同人,高适,长安三万里",BV1oN411h7zZ,https://www.bilibili.com/video/BV1oN411h7zZ
长安三万里,"拉片解析《长安三万里》（六）王维一首《相思》赠<em class=""keyword"">李龟年</em>，修道公主和广交朋友的岐王，杜甫喝酒骂人险些被杀，王维为亡妻三十年不娶",2372,3,50,FutierNixe,"历史,杜甫,唐朝,影视剪辑,王维,李龟年,人文历史档案馆,长安三万里,人文历史档案馆2.0",BV1zgUJYmEdZ,https://www.bilibili.com/video/BV1zgUJYmEdZ
长安三万里,"<em class=""keyword"">杜甫</em>居然是李白的头号粉丝",5043352,67,114995,三脚猫燃剪,"杜甫,剪辑,李白,影视剪辑,长安三万里",BV1ss4y1y74Z,https://www.bilibili.com/video/BV1ss4y1y74Z
长安三万里,世上疮痍，诗中圣哲；民间疾苦，笔底波澜 ——【长安三万里】,12535,3,190,那菈剪辑,"国产,杜甫,动画电影,电影剪辑,李白,影视剪辑,长安三万里,长安三万里大唐欢迎你",BV1bP411k7hv,https://www.bilibili.com/video/BV1bP411k7hv
长安三万里,"【长安三万里】论李白和迪士尼<em class=""keyword"">公主</em>的适配程度",46263,11,343,桃呀淘呀萄,"公主,迪士尼,动画电影,李白,迪士尼公主,影视剪辑,长安三万里,电影长安三万里,长安三万里大唐欢迎你",BV1s8411S7Ua,https://www.bilibili.com/video/BV1s8411S7Ua
长安三万里,"【长安三万里】论李白和迪士尼<em class=""keyword"">公主</em>的适配程度",46263,11,343,桃呀淘呀萄,"公主,迪士尼,动画电影,李白,迪士尼公主,影视剪辑,长安三万里,电影长安三万里,长安三万里大唐欢迎你",BV1s8411S7Ua,https://www.bilibili.com/video/BV1s8411S7Ua
长安三万里,长安三万里-大唐女子图鉴,38414,2,302,一只雪梨SherryLynn,"唐朝,国漫,长安,美人,扬州,影视剪辑,追光动漫,长安三万里,循迹琵琶版,神仙剪刀手,影视神仙剪刀手",BV1pj411x7Xe,https://www.bilibili.com/video/BV1pj411x7Xe
长安三万里,"【长安三万里】论李白和迪士尼<em class=""keyword"">公主</em>的适配程度",46263,11,343,桃呀淘呀萄,"公主,迪士尼,动画电影,李白,迪士尼公主,影视剪辑,长安三万里,电影长安三万里,长安三万里大唐欢迎你",BV1s8411S7Ua,https://www.bilibili.com/video/BV1s8411S7Ua
长安三万里,《长安三万里》正片古诗「纯享版」,395079,470,7201,薄荷在哪里,"电影,李白,古诗,影视剪辑,高适,长安三万里",BV15u4y1t71B,https://www.bilibili.com/video/BV15u4y1t71B
长安三万里,《长安三万里》正片古诗「纯享版」,395079,470,7201,薄荷在哪里,"电影,李白,古诗,影视剪辑,高适,长安三万里",BV15u4y1t71B,https://www.bilibili.com/video/BV15u4y1t71B
长安三万里,"长安三万里—<em class=""keyword"">王维</em>",46868,3,105,君君杰睿,"电影,唐朝,国漫,长安,相思,影视剪辑,王维,长安三万里",BV1tg4y1w785,https://www.bilibili.com/video/BV1tg4y1w785
长安三万里,"长安三万里—<em class=""keyword"">王维</em>",46868,3,105,君君杰睿,"电影,唐朝,国漫,长安,相思,影视剪辑,王维,长安三万里",BV1tg4y1w785,https://www.bilibili.com/video/BV1tg4y1w785
长安三万里,我敢说，90%的国人根本不了解李白,8918945,3857,157502,布衣探案,"中国,文化,中国风,唐朝,李白,影视剪辑,高适,追光,长安三万里,电影长安三万里,长安三万里大唐欢迎你",BV1WV4y187CK,https://www.bilibili.com/video/BV1WV4y187CK
