movie,定档时间,常见IP,作品所属公司
棉花糖和云朵妈妈1宝贝“芯”计划,2023-07-01,棉花糖、云朵妈妈,央视动漫集团、央视少儿频道、猫眼影业、海南禾光影业、北京中外名人文化传媒、上海米哈游墨染香科
长安三万里,2023-07-08,高适、李白,上海追光影业有限公司、北京阿里巴巴影业文化有限公司、天津猫眼微影文化传媒有限公司、中国电影股份有限公司、北京微梦创科网络技术有限公司（联合出品）
超级飞侠：乐迪加速,2023-07-08,乐迪、多多,奥飞影业（上海）有限公司、奥飞影业投资（北京）有限公司、浙江东阳小宇宙影视传媒有限公司、优酷信息技术（北京）有限公司
茶啊二中,2023-07-14,王强、石妙娜,北京光线传媒股份有限公司、吉林省凝羽动画有限公司
欢乐丛林之外星人大冒险,2023-07-15,福恩特、蒙奇,海宁亿海天城影业有限公司
萌鼠大冒险,2023-07-21,蓝宝、胖迪,南京龙雀影视动画有限公司
百变马丁：怪兽大作战,2023-07-22,马丁、郭莫,上海今日动画影视文化有限公司
超级英雄美猴王：齐天儿,2023-07-29,石猴齐天儿、玉皇大帝,广州欧划动画技术有限公司
飞向月球,2023-08-13,董小宝、董大宝,山西谊融文化传媒有限公司、凡间（北京）文化创意有限公司、北京盛世顺景文化传媒有限公司
雪域少年,2023-08-19,格萨尔王,北京华晟泰通传媒投资有限公司、峨眉电影集团公司、五洲传播中心、北京太河影视艺术文化投资有限公司、少年派影业无锡有限公司、北京星宏影视文化有限公司
王牌二哈,2023-08-19,小杰、二哈,合肥泰尚文化科技有限公司
龙珠寻游记,2023-09-04,生肖龙、狗、猪,安徽同人文化传播有限公司
嗨！神兽,2023-09-16,神兽、阿吉,满满额娱乐股份有限公司
贝肯熊：火星任务,2023-09-28,贝肯、大橘子,奥飞影业（上海）有限公司
功夫王之萌虎上山,2023-09-29,小白虎乐乐、多多,浙江锋尚锐志影视有限公司
迷你特工队之汉堡大作战,2023-11-11,福乐,大地时代文化传播（北京）有限公司、之江影业传媒（浙江）有限公司
蚂蚁传奇之终极一战,2023-12-09,五行蚂蚁战士（金童童、木吞吞、水灵灵、火聪聪、土豆豆）,星光熠熠(广东)影视传媒有限公司、北京如日之升影业有限公司
四季童年,2023-12-15,小武、小美,青岛直视阳光动画有限公司、形影不离（山西）科技有限公司
蚂蚁传奇之神木奇缘,2023-12-16,五行蚂蚁战士（金童童、木吞吞、水灵灵、火聪聪、土豆豆）,星光熠熠(广东)影视传媒有限公司、北京如日之升影业有限公司
舒克贝塔·五角飞碟,2023-12-30,舒克、贝塔,杭州童话大王影视有限公司、浙江横店影业有限公司
天降大任,2024-01-06,蒲牢、武圣大宇,中国电影股份有限公司、海南穿梭门文化传媒有限公司
大雨,2024-01-12,馒头、大谷子,上海今涂影业有限公司、上海华人影业有限公司、霍尔果斯彩条屋影业有限公司
江豚·风时舞,2024-01-20,江泠、黑龙,江西文演影视传媒有限公司、深圳市环球数码影视文化有限公司，江西省湖口县石钟山文化旅游发展集团有限公司、佛山环球数码媒体有限公司、保利影业投资有限公司、北京环鹰时代文化传媒有限公司、九江长投影业有限公司
熊出没之逆转时空,2024-02-10,熊大、熊二,华强方特（深圳）动漫有限公司等
雄狮少年2,24年12月上映,,
盒中之海,24年10月上映,,
新大头儿子和小头爸爸6：迷你大冒险,24年10月上映,,
守龙者,24年8月上映,,
阿狸,敬请期待,,
白蛇：浮生,24年8月上映,,
喜羊羊与灰太狼之守护,24年7月上映,,
落凡尘,24年7月上映,,
伞少女,24年7月上映,,
头脑特工队2,24年6月上映,,
一,24年6月上映,,
休,24年6月上映,,
心源,24年6月上映,,
小诗人,24年6月上映,,
龙门,24年6月上映,,
出口,24年6月上映,,
加菲猫家族,24年6月上映,,
猪猪侠大电影·星际行动,24年5月上映,,
开心超人之时空营救,24年1月上映,,
大雨,24年1月上映,,
趣说经典之论语学堂,24年1月上映,,
开心超人之逆世营救,2025-07-02,,广东明星创意动画有限公司、华夏电影发行有限责任公司、影聚天际（北京）文化传媒有限公司
聊斋：兰若寺,2025-07-12,,光人动画设计（北京）有限公司、追光动画文化传播（北京）有限公司
时间之子,2025-05-30,,上海猫眼影业有限公司、天津猫眼微影文化传媒有限公司、上海剧享影业有限公司
恶兽,2025-03-18,,上海缔璞文化传播有限公司
哪吒之魔童闹海,2025-01-29,,成都可可豆动画影视有限公司、成都光线动画有限公司、成都自在境界文化传媒有限公司
熊出没·重启未来,2025-01-29,,华强方特（深圳）动漫有限公司
雄狮少年2,2024-12-14,,北京精彩时间文化传媒有限公司、广州易动文化传播有限公司、北京百纳千成影视股份有限公司
