,0
4.1.1,0.325397400075378
4.1.2,0.2884788024112606
4.1.3,0.2905682324320858
4.1.4,0.09555556508127551
3.2.1,0.500000000000001
3.2.2,0.49999999999999906
3.1.1,1.0
3.3.1,1.0
2.3.1,1.0
2.2.1,0.07168751918098626
2.2.2,0.13116267355744055
2.2.3,0.15544134161439607
2.2.4,0.1574242612509778
2.2.5,0.1540700661941503
2.2.6,0.06890299080298257
2.2.7,0.13180990526712852
2.2.8,0.12950124213193798
1.1.1,1.0
1.2.1,0.27197578325649047
1.2.2,0.3742960550155101
1.2.3,0.3537281617279994
2.1.1,0.2496898495071245
2.1.2,0.24976985256221299
2.1.3,0.25043271207474255
2.1.4,0.25010758585592
