movie,likes,comments,shares
浪浪山小妖怪,28752.0,559.0,1536.0
浪浪山小妖怪,5365.0,175.0,428.0
浪浪山小妖怪,9781.0,544.0,4603.0
浪浪山小妖怪,15.0,0.0,0.0
浪浪山小妖怪,12.0,3.0,0.0
浪浪山小妖怪,24.0,2.0,2.0
长安三万里,110.0,5.0,346.0
长安三万里,5.0,0.0,9.0
长安三万里,1022.0,43.0,61.0
长安三万里,78.0,8.0,9.0
长安三万里,1142.0,53.0,76.0
茶啊二中,535.0,70.0,25.0
茶啊二中,535.0,70.0,25.0
茶啊二中,6102.0,541.0,967.0
王牌二哈,21.0,4.0,12.0
王牌二哈,21.0,4.0,12.0
王牌二哈,21.0,4.0,12.0
王牌二哈,21.0,4.0,12.0
王牌二哈,21.0,4.0,12.0
贝肯熊：火星任务,31.0,3.0,0.0
贝肯熊：火星任务,31.0,3.0,0.0
贝肯熊：火星任务,31.0,3.0,0.0
贝肯熊：火星任务,31.0,3.0,0.0
贝肯熊：火星任务,31.0,3.0,0.0
天降大任,1567.0,20.0,82.0
大雨,7060.0,528.0,1678.0
大雨,18276.0,193.0,903.0
大雨,7060.0,528.0,1678.0
大雨,100904.0,5988.0,16956.0
大雨,269054.0,3398.0,86148.0
大雨,1235.0,77.0,989.0
大雨,7060.0,528.0,1678.0
大雨,7060.0,528.0,1678.0
大雨,7060.0,528.0,1678.0
熊出没,9113.0,866.0,2365.0
熊出没,9113.0,866.0,2365.0
熊出没,442178.0,45211.0,351074.0
熊出没,9112.0,866.0,2365.0
熊出没,2940.0,324.0,294.0
熊出没,9112.0,866.0,2365.0
熊出没,104538.0,27119.0,43656.0
熊出没,9113.0,866.0,2365.0
熊出没,9112.0,866.0,2366.0
雄狮少年,79523.0,1781.0,6262.0
雄狮少年,30.0,14.0,3.0
雄狮少年,79523.0,1781.0,6262.0
雄狮少年,2074.0,58.0,157.0
雄狮少年,152.0,3.0,10.0
雄狮少年,492.0,20.0,31.0
雄狮少年,2070.0,26.0,95.0
雄狮少年,294.0,19.0,17.0
雄狮少年,244.0,33.0,11.0
雄狮少年,430.0,14.0,20.0
盒中之海,18.0,1.0,1.0
盒中之海,18.0,1.0,1.0
盒中之海,15.0,3.0,9.0
盒中之海,88.0,3.0,0.0
盒中之海,9.0,9.0,2.0
盒中之海,18.0,1.0,1.0
盒中之海,55.0,5.0,28.0
阿狸,1075.0,97.0,2586.0
阿狸,1114.0,20.0,26.0
阿狸,61425.0,952.0,5127.0
白蛇：浮生,1343.0,53.0,483.0
喜羊羊与灰太狼,2.0,1.0,0.0
喜羊羊与灰太狼,11002.0,669.0,4675.0
落凡尘,2650.0,50.0,158.0
落凡尘,4581.0,191.0,134.0
落凡尘,2852.0,24.0,79.0
伞少女,66.0,2.0,21.0
伞少女,66.0,2.0,21.0
头脑特工队,29.0,2.0,6.0
头脑特工队,29.0,2.0,6.0
头脑特工队,931.0,33.0,1908.0
头脑特工队,5822.0,122.0,244.0
头脑特工队,2865.0,53.0,136.0
头脑特工队,4029.0,167.0,317.0
头脑特工队,26.0,6.0,2.0
头脑特工队,895.0,23.0,45.0
头脑特工队,342.0,34.0,4.0
头脑特工队,11.0,0.0,0.0
头脑特工队,29.0,2.0,6.0
一,60.0,4.0,6.0
一,182.0,4.0,14.0
一,1298.0,224.0,320.0
一,45.0,5.0,7.0
一,267560.0,4316.0,49767.0
一,89466.0,724.0,16698.0
一,1630.0,415.0,265.0
一,978.0,10.0,17.0
一,24983.0,529.0,1644.0
一,1826.0,40.0,56.0
一,205315.0,3784.0,27839.0
一,1.0,1.0,0.0
一,2548.0,44.0,80.0
一,20120.0,120.0,724.0
一,115.0,7.0,3.0
一,245.0,13.0,15.0
一,79356.0,841.0,7744.0
一,371.0,24.0,36.0
一,18051.0,651.0,2887.0
一,66130.0,3343.0,32597.0
一,3053.0,169.0,1608.0
一,14675.0,169.0,2261.0
一,276.0,42.0,20.0
一,428.0,22.0,63.0
休,2474.0,82.0,126.0
休,1147.0,109.0,40.0
休,3966.0,115.0,681.0
休,2822.0,91.0,178.0
休,275.0,18.0,24.0
休,1520.0,46.0,197.0
休,3540.0,103.0,744.0
休,234.0,6.0,17.0
休,1222.0,18.0,123.0
休,240.0,14.0,4.0
休,8245.0,326.0,837.0
休,7805.0,332.0,779.0
休,1340.0,47.0,84.0
休,8668.0,507.0,354.0
龙门,990.0,66.0,121.0
龙门,38818.0,249.0,4390.0
龙门,389.0,81.0,99.0
龙门,43296.0,232.0,4260.0
龙门,43972.0,833.0,7487.0
龙门,21467.0,280.0,1475.0
龙门,316.0,36.0,58.0
龙门,21.0,5.0,1.0
龙门,1594.0,151.0,1118.0
出口,15038.0,962.0,572.0
出口,204.0,9.0,5.0
出口,403.0,4.0,6.0
出口,44.0,2.0,2.0
出口,40.0,0.0,3.0
出口,3352.0,345.0,1307.0
加菲猫家族,292.0,3.0,45.0
加菲猫家族,48280.0,2766.0,13262.0
加菲猫家族,1176.0,44.0,303.0
开心超人,167.0,26.0,10.0
开心超人,208.0,14.0,7.0
开心超人,167.0,26.0,10.0
开心超人,167.0,26.0,10.0
开心超人,7.0,3.0,2.0
开心超人,50.0,4.0,4.0
开心超人,17.0,2.0,0.0
开心超人,208.0,14.0,7.0
开心超人,1963.0,50.0,64.0
开心超人,5260.0,393.0,273.0
开心超人,167.0,26.0,10.0
聊斋：兰若寺,72.0,22.0,26.0
