,sum,mean
民调局异闻录,127167.0,1199.688679245283
我叫mt,66111.0,623.688679245283
小花仙,162847.0,1536.2924528301887
无聊就完结,0.0,
阿诺德和他可爱的木偶们,0.0,
赛尔号,320379.0,3022.443396226415
彩虹宝宝,52514.0,495.41509433962267
百工灵,0.0,
一,2841375.0,26805.424528301886
休,104557.0,986.3867924528302
心源,0.0,
小诗人,0.0,
龙门,62728.0,591.7735849056604
出口,57351.0,541.0471698113207
猪猪侠大电影·星际行动,0.0,
从姑获鸟开始,138808.0,1309.5094339622642
今天的晚餐就是你,0.0,
幻宠师,33031.0,311.6132075471698
风速少年团,0.0,
邂逅她的少女时代,0.0,
小药童也想修仙,0.0,
回铭,0.0,
我在修仙世界朝九晚五,0.0,
鲲吞天下,32315.0,304.85849056603774
宝莲灯,211483.0,1995.122641509434
没头脑和不高兴,100407.0,947.2358490566038
猪猪·吉利·小财神,0.0,
百变宝贝,9667.0,91.19811320754717
中华美德,14065.0,132.68867924528303
超级球迷,0.0,
魔鬼芯片,4117.0,38.839622641509436
土红色的骆驼,0.0,
西游漫记,0.0,
白玉堂,40719.0,384.14150943396226
财宝小狐狸,0.0,
飞龙天降,0.0,
钟点父子,0.0,
三十六计奇遇记,0.0,
小草帽,0.0,
小和尚,41669.0,393.10377358490564
家有开心果,0.0,
红孩儿传奇,1250.0,11.79245283018868
怪城,0.0,
咕噜先生,867.0,8.179245283018869
民族风情,10598.0,99.98113207547169
风尘小游侠,0.0,
聪明的笨小猪,0.0,
隐身探长,0.0,
大森林里的小故事,0.0,
红鼻子,16882.0,159.26415094339623
地上城与勇士,0.0,
银河封神纪,0.0,
反派初始化,39978.0,377.1509433962264
FLUFFY LAND,0.0,
超变兽车侠,0.0,
虚无边境,0.0,
神之一脚,0.0,
没牙的老虎,0.0,
皮皮的故事,0.0,
巴塔木晚安故事,0.0,
小鸡彩虹,22833.0,215.4056603773585
林海雪原,127246.0,1200.433962264151
仙女奇缘,2975.0,28.066037735849058
逐梦少年,0.0,
少年苏东坡传奇,0.0,
梦想总动员,15138.0,142.81132075471697
探险中的小百科,0.0,
乌鸦为什么是黑的,9929.0,93.66981132075472
