博主昵称,发文时间,微博正文,转发数,评论数,点赞数
初晓敏,07月16日 19:00,据说是全北京拉布布隐藏款最多的地方，那就去逛逛。开的是奔腾悦意03，有点隐藏款的意思，起步798，续航400+，空间还挺大，给大家开个箱 #车评精选# L初晓敏的微博视频,511,572,1736
小鱼今天看什么剧,07月14日 11:22,学会画可爱调皮的拉布布，简笔画真好玩 L小鱼今天看什么剧的微博视频,213,10,617
Summer最聪明,今天09:48,"#大哥的童年记事#

之前朋友送给我一个拉布布。我在视频里面跟大哥说了。他一直记得这个，昨天自己拆家的时候把它找出来了。

我婆婆拿着看了看，以前总听他说拉布布，她根本都听不清也听不懂，现在具象化了，于是跟孙子用河南话说：

我当啥是拉布布，就这？！我给你neng个绳挂脖儿上！

大哥：好。

你看，河南人的博彩玩偶，自己有自己独特宠溺方式。。。 收起d",0,19,115
FantasticColor-饭饭,05月30日 15:05,爆改labubu花样太多了,234,72,2293
internet-garcon-pdf,06月06日 12:00,"ㅤ
ㅤ
拉布布是否是经济衰退的标志？
ㅤㅤ
ㅤ
#微博喜剧现场# // Linternet-garcon-pdf的微博视频",232,107,3538
帕布买一送一,07月17日 21:32,🦊：我买了拉布布 但是拉布布一直不发货 所以现在一直在等到货(｡•́︿•̀｡) L帕布买一送一的微博视频,90,2,215
财家富贵花,07月17日 19:43,"#微博旅行家##带着微博去旅行#
天津最后一站，第五大道，慢生活。

还遇到了拉布布 2天津·五大道文化旅游区",0,49,148
十早早快乐记事本,07月17日 13:47,"又是补发昨天 最近困得特别的早 到家就早早的睡喽！
干了好多事的一天！
陪男的去雍和宫还愿 去了拉布布快闪 晚上还去吃了一家我喜欢的韩料～
两万步的一天！珍惜最后在北京的每一天～",1,22,124
帕布买一送一,07月19日 23:52,"小橡子更新Post
“拆出拉布布了”

+评论
“虽然不是隐藏款..h”
“啊说实话?是绿色还是薄荷色来着 好想要那个亲故”",125,5,321
李喜猫,07月19日 19:26,"谁家还没个戴帝王绿毛绒绒的labubu呢？
#微博影像年##宠物奥斯卡##万物有灵#",12,37,150
w浮生若梦啊w,14分钟前,昨日卖出7元人呢？都哪里去了？都来买拉布布，买盲盒啊！！！！！！！,0,0,0
仁川牛奶团子工厂,15分钟前 转赞人数超过1000,"去签售上班 本来很开心 结果一直听人说 为什么不看我镜头 为什么不染发 为什么没有收到人给你拉布布是不是被排挤了 为什么不这样 为什么不那样…
去fromm和得比聊天 结果被人发快减肥 你该这样你该那样 也不愿意上律师函只是全盘接受…
开直播 被人评论不要咂嘴 把额头盖住年轻了20岁 挂掉无数私生电话 一直调整自己的头发和角度 也只是说自己今天很不顺啊 开直播一直有电话 还有延迟 吃播也不香 也不会聊天 很无趣很对不起 吃完饭觉得脸又胖了 回归之前我会减掉的…

哎呦… 我们在贤 只听好的只看好的吧 收起d",462,6,1055
-陈懵懵呀,14分钟前,"同时拥有三代#拉布布# 的一天
心动马卡龙和坐坐派对超喜翻
前方高能虽然抽到红色，但是实物有一丢丢惊艳到我",0,0,0
大庆咋啦,15分钟前,"中午炒米粉炫太饱，下午直接躺倒，
晚上又吃了“恐龙蛋”，外皮虽酸，但里面很甜啊。
睡前发现铱的mini拉布布，很搞笑。",0,1,0
Z彦曦,16分钟前,板栗说他是拉布布我是拉布布他爸是拉臭臭,0,0,0
ENEN科技匠,19分钟前 转赞人数超过5100,"千金难买心头好💗
快乐、幸福感等情感体验是无价的✨
如果能真正带来愉悦或内心的满足🐬
即使需要付出一点金钱💰
其价值也远超其本身👏
让你感到无尽的幸福😊
那么为之付出就是值得的❤
生活要像拉布布一样🧸
不管遇到什么事整天呲个大牙笑😊～",1051,50,5059
chanyume,19分钟前,这幅拉布布绘画不仅生动有趣，而且有着清新的色彩和丰富的细节。,0,0,16
初小鞠更新了,23分钟前 转赞人数超过20,海绵自制拉布布labubu家族捏捏，好玩又解压，赶紧制作一个吧！#手工手作##我的手工日常#手工超话#微博超有用视频大赛# L初小鞠更新了的微博视频,0,20,29
荷花x1,26分钟前,有要拉布布的吗？155一个可以单卖也可以整套卖，有要的加v:15291152735,0,0,0
SparksFly小白,30分钟前,"在王府井APM逛街
偶遇Labubu快闪🏪便利店
真的好可爱！ ˃̵ᴗ˂̵⸝⸝𖤐*⸝⋆

·北京·王府井·拉布布快闪主题活动",0,0,1
静静沉迷男色不能自拔,30分钟前,嘿嘿嘿坐等我的拉布布嘿嘿嘿,0,0,0
橡皮擦er,30分钟前,情绪价值拉满～#123星星人##泡泡玛特##拉布布#,0,0,0
天使ta在身边呀,36分钟前,人家买拉布布我买布布，但是我买布布的时候我也不知道拉布布，但是我现在知道了我也不会买拉布布，因为没有感觉。,0,0,0
