anime,score_x,votes_douban,comment_count,review_count
神奇的朋友 咖宝蛋神,8,0,86,1
白色闪电,8,0,100,7
咖宝车神,8,0,86,1
我的三体,8,0,86,1
精灵梦叶罗丽,8,0,86,1
民调局异闻录,6.8,5788,100,20
我叫MT,8,0,86,1
小花仙,7.2,2319,100,14
无聊就完结,8,0,100,1
阿诺德和他可爱的木偶们,8,0,81,0
赛尔号,7.5,5557,100,2
彩虹宝宝,7.9,336,100,1
百工灵,8,0,12,0
一,8,0,86,1
休,8,0,86,1
心源,8,0,3,0
小诗人,8,0,86,1
龙门,8,0,86,1
出口,8,0,86,1
猪猪侠大电影·星际行动,5.4,1038,100,4
从姑获鸟开始,8,0,86,1
今天的晚餐就是你,8,0,36,0
幻宠师,8,0,100,2
风速少年团,8,0,1,0
邂逅她的少女时代,8,0,47,2
小药童也想修仙,8,0,12,0
回铭,8,0,86,1
我在修仙世界朝九晚五,8,0,86,1
鲲吞天下,8,0,86,1
宝莲灯,7.9,95267,100,20
没头脑和不高兴,8.8,78579,100,17
猪猪·吉利·小财神,8,0,86,1
百变宝贝,8.7,584,86,1
中华美德,8,0,86,1
超级球迷,8,0,86,1
魔鬼芯片,8.6,329,86,1
土红色的骆驼,8,0,86,1
西游漫记,8,178,46,1
白玉堂,8,0,17,0
财宝小狐狸,8,0,1,0
飞龙天降,8,0,2,0
钟点父子,8,0,4,0
三十六计奇遇记,8,0,9,0
小草帽,8,0,1,0
小和尚,9,3628,100,3
家有开心果,8,0,86,1
红孩儿传奇,8,0,19,1
怪城,8,0,15,0
咕噜先生,8,0,13,0
民族风情,8,0,86,1
风尘小游侠,8,0,7,0
聪明的笨小猪,8,0,15,0
隐身探长,8,0,24,0
大森林里的小故事,8,0,10,0
红鼻子,8,0,86,1
地上城与勇士,8,0,6,0
银河封神纪,8,0,5,0
反派初始化,8,0,100,5
FLUFFY LAND,8,0,86,1
超变兽车侠,8,0,1,0
虚无边境,8,0,50,3
神之一脚,8,0,25,0
没牙的老虎,7.9,3259,100,1
皮皮的故事,8.1,509,91,1
巴塔木晚安故事,8,0,86,1
小鸡彩虹,9.1,505,100,4
林海雪原,6.2,5955,100,20
仙女奇缘,8,0,86,1
逐梦少年,8,0,86,1
少年苏东坡传奇,8,0,4,0
梦想总动员,8,0,11,0
探险中的小百科,8,0,86,1
乌鸦为什么是黑的,7.8,3629,100,3
东郭先生,8,21627,100,8
小蛋壳,8.6,9639,100,19
女娲补天,8.1,8747,100,4
假如我是武松,8.2,11017,100,5
狼来了,7.9,9883,100,7
鹿铃,8.9,5190,100,2
小熊猫学木匠,7.9,5092,100,2
曹冲称象,7.8,25712,100,5
善良的夏吾冬,8.4,4267,100,4
抬驴,8,5603,100,3
猴子捞月,8.2,39997,100,9
崂山道士,8.7,21003,100,18
真假李逵,7.9,6576,100,0
南郭先生,8.2,35678,100,9
人参果,8.3,14756,100,9
三个和尚,8.9,117835,100,20
张飞审瓜,8,3969,100,3
雪孩子,9,84288,100,19
老狼请客,8.2,19789,100,8
好猫咪咪,8.3,3108,100,0
愚人买鞋,7.9,8445,100,3
熊猫百货商店,8.3,8732,100,2
画廊一夜,8.4,1278,100,0
大英雄狄青,9,13035,100,19
猩猩探长,8,0,5,0
牛牛和西西,8,0,3,0
应该靠自己,8,0,2,1
快乐家家车,7.5,12830,100,6
怪老头儿,8.8,17801,100,19
大盗贼,9.3,36259,100,18
汉化日记,8,0,86,1
大雨,6.2,27920,100,20
奶泡泡学成语,8,0,86,1
瑞奇宝宝,8,0,86,1
缔灵爱,8,0,86,1
苍兰诀,8.2,814002,100,20
新·异常生物见闻录：序,8,0,27,0
嫁人就嫁灰太狼,8,0,86,1
明日方舟：焰烬曙明,8,0,86,1
山海封神,8,0,86,1
这个大佬画风不对,8,0,86,1
重生,5.6,82974,100,20
最强反套路系统,8,0,86,1
我真的不想当,8,0,86,1
我在末世搬金砖,8,0,86,1
我的师傅每到大限才突破,8,0,86,1
神豪,8,0,86,1
从不出手的我混成了天榜大佬·,8,0,86,1
从零开始当首富,8,0,86,1
道君,8,0,86,1
