动漫名,豆瓣评分,评分人数,文字数,类型,制片国家/地区,语言,上映日期
龙门飞甲(2011),6.9,324556,1916, / 剧情 / / / 动作 / / / 武侠 / / / 古装, / 中国大陆 / 中国香港, / 汉语普通话, / 2011-12-15(中国大陆)
8号出口 8番出口(2025),,0人评价,1, / 恐怖 / / / 冒险, / 日本, / 日语, / 2025-05-18(戛纳国际电影节) / / / 2025-08-29(日本)
加菲猫家族 The Garfield Movie(2024),6.7,37689,148, / 喜剧 / / / 动画 / / / 奇幻 / / / 冒险, / 美国 / 英国 / 中国香港, / 英语, / 2024-06-01(中国大陆) / / / 2024-05-01(西班牙) / / / 2024-05-24(美国)
猪猪侠大电影·星际行动(2024),5.4,1030,4, / 喜剧 / / / 科幻 / / / 动画, / 中国大陆, / 汉语普通话, / 2024-05-01(中国大陆)
开心超人之时空营救(2024),6.1,2086,16, / 科幻 / / / 动画 / / / 冒险, / 中国大陆, / 汉语普通话, / 2024-01-20(中国大陆)
开心超人之逆世营救(2025),,0人评价,14, / 科幻 / / / 动画 / / / 儿童 / / / 冒险, / 中国大陆, / 汉语普通话, / 2025-05-01(中国大陆)
聊斋：兰若寺(2025),6.6,37688,617, / 剧情 / / / 喜剧 / / / 动画 / / / 奇幻, / 中国大陆, / 汉语普通话, / 2025-07-12(中国大陆)
时间之子(2025),6.3,30455,471, / 爱情 / / / 动画 / / / 奇幻 / / / 冒险, / 中国大陆, / 汉语普通话, / 2025-05-30(中国大陆)
恶兽(2025),,0人评价,1, / 动作 / / / 动画 / / / 冒险, / 中国大陆, / 汉语普通话, / 2025-03-18(中国大陆)
哪吒之魔童闹海(2025),8.5,1421696,7981, / 剧情 / / / 喜剧 / / / 动画 / / / 奇幻, / 中国大陆, / 汉语普通话, / 2025-01-29(中国大陆)
熊出没·重启未来(2025),7.1,39010,231, / 剧情 / / / 喜剧 / / / 科幻 / / / 动画, / 中国大陆, / 汉语普通话, / 2025-01-29(中国大陆)
