,棉花糖和云朵妈妈1宝贝“芯”计划,长安三万里,超级飞侠：乐迪加速,茶啊二中,欢乐丛林之外星人大冒险,萌鼠大冒险,百变马丁：怪兽大作战,超级英雄美猴王：齐天儿,飞向月球,雪域少年,王牌二哈,龙珠寻游记,嗨！神兽,贝肯熊：火星任务,功夫王之萌虎上山,迷你特工队之汉堡大作战,蚂蚁传奇之终极一战,四季童年,蚂蚁传奇之神木奇缘,舒克贝塔·五角飞碟,天降大任,大雨,江豚·风时舞,熊出没之逆转时空,雄狮少年2,盒中之海,新大头儿子和小头爸爸6：迷你大冒险,守龙者,阿狸,白蛇：浮生,喜羊羊与灰太狼之守护,落凡尘,伞少女,头脑特工队2,一,休,心源,小诗人,龙门,出口,加菲猫家族,猪猪侠大电影·星际行动,开心超人之时空营救,大雨,趣说经典之论语学堂,开心超人之逆世营救,聊斋：兰若寺,时间之子,恶兽,哪吒之魔童闹海,熊出没·重启未来,雄狮少年2
2023-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-02,,35054.0,,7465.0,,,,,181.0,,,,,,,,,,,,209.0,835.0,,0.0,0.0,0.0,,0.0,1072.0,,0.0,81.0,0.0,0.0,26652.0,867.0,,,689.0,498.0,0.0,,,835.0,,,,0.0,,0.0,0.0,0.0
2023-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-09,,75894.0,,10891.0,,,,,167.0,,,,,,,,,,,,337.0,819.0,,0.0,0.0,0.0,,0.0,1090.0,,0.0,94.0,0.0,0.0,26173.0,917.0,,,700.0,651.0,0.0,,,819.0,,,,0.0,,0.0,0.0,0.0
2023-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
