所属动漫,视频标题,播放量,弹幕数,收藏数,UP主,标签,bvid,url
守龙者,"小女孩意外遇见神龙，被神龙选中成为<em class=""keyword"">守龙者</em>",492,0,3,小离影视,"小女孩,动漫,神龙,国产动画,奇幻,电影剪辑,影视剪辑,守龙者,这就是混剪,影视神仙剪刀手,B站好片有奖种草",BV1g3gWz8EXj,https://www.bilibili.com/video/BV1g3gWz8EXj
守龙者,"<em class=""keyword"">守龙者</em>",809895,221,5864,季节蜡烛哈哈,"动漫,电影,国漫,动画推荐,电影剪辑,守龙者,动画电影守龙者",BV1ArrSYWEmw,https://www.bilibili.com/video/BV1ArrSYWEmw
守龙者,"<em class=""keyword"">守龙者</em>",809895,221,5864,季节蜡烛哈哈,"动漫,电影,国漫,动画推荐,电影剪辑,守龙者,动画电影守龙者",BV1ArrSYWEmw,https://www.bilibili.com/video/BV1ArrSYWEmw
守龙者,"你学会了吗😂#小影迷们首映礼一起学运气  #电影<em class=""keyword"">守龙者</em> #杨恩又",14,0,1,娱镜在现场,"电影,影视,动画片,影视剪辑,星计划,守龙者",BV1RVYEeQEk9,https://www.bilibili.com/video/BV1RVYEeQEk9
守龙者,"“ 女孩替奶奶去喂龙食却意外被选中成为了<em class=""keyword"">守龙者</em> &quot;",983,0,3,peak漫剪,"动画,动漫,动画电影,混剪,守龙者,B站好片有奖种草",BV1dkKkzLEc4,https://www.bilibili.com/video/BV1dkKkzLEc4
阿狸,"【英雄联盟/<em class=""keyword"">阿狸</em>/灵魂莲华/超俏皮】我和亚索的哈撒给谁更好听呢？",411295,316,4843,大路遇贵人,"GMV,CG混剪,游戏练级挑战,bilibili新星计划,阿狸,九尾妖狐,灵魂莲华",BV1Sf4y197xn,https://www.bilibili.com/video/BV1Sf4y197xn
阿狸,"萧衡真的爱惨了他的<em class=""keyword"">阿狸</em>！！！",144036,0,239,盐味黑砂糖,"阿狸,影视剪辑,吴谨言,创作灵感,王星越,影视神仙剪刀手,神仙剪刀手 4.0,萧衡",BV1Et421K7u5,https://www.bilibili.com/video/BV1Et421K7u5
阿狸,"悟空和<em class=""keyword"">阿狸</em>的前世今生",57973,74,304,云飞游戏,"阿狸,悟空,剪辑",BV18W411T74E,https://www.bilibili.com/video/BV18W411T74E
阿狸,"<em class=""keyword"">阿狸</em>的准备【作者starlight】",5427,0,325,南风满格,"同人动画,3D,LOL,英雄联盟,阿狸,双城之战,bilibili次元论战",BV1XnhtzhES5,https://www.bilibili.com/video/BV1XnhtzhES5
阿狸,"<em class=""keyword"">阿狸</em>16：我会带着你与你儿子的妖丹，与你夫君好好修道的",9621,0,153,甜甜芊v,"动漫,古风,阿狸,影视剪辑,逆水寒ol,大宋映画",BV1ZcmTYGEuG,https://www.bilibili.com/video/BV1ZcmTYGEuG
阿狸,"神话幻想<em class=""keyword"">阿狸</em>评测（胖头鱼<em class=""keyword"">阿狸</em>）",1040,1,2,某音丶狸师傅,"神话,英雄联盟,小说,游戏测评,阿狸,影视剪辑,金色传说",BV1ZchgznEHr,https://www.bilibili.com/video/BV1ZchgznEHr
阿狸,"神话幻想<em class=""keyword"">阿狸</em>评测（胖头鱼<em class=""keyword"">阿狸</em>）",1040,1,2,某音丶狸师傅,"神话,英雄联盟,小说,游戏测评,阿狸,影视剪辑,金色传说",BV1ZchgznEHr,https://www.bilibili.com/video/BV1ZchgznEHr
