anime,baidu_anime_baidu_anime_sum_log_minmax,baidu_anime_baidu_anime_mean_log_minmax,bilibili_anime_orignaldata_likes_log_minmax,bilibili_anime_orignaldata_coins_log_minmax,bilibili_anime_orignaldata_collections_log_minmax,bilibili_anime_orignaldata_shares_log_minmax,bilibili_anime_orignaldata_followers_log_minmax,bilibili_anime_orignaldata_play_count_log_minmax,bilibili_anime_orignaldata_score_minmax,bilibili_anime_orignaldata_total_rating_count_log_minmax,bilibili_anime_creations_creations_log_minmax,bilibili_anime_creations_videos_log_minmax,bilibili_anime_comments_total_reply_log_minmax,douban_anime_douban_anime_score_x_minmax,douban_anime_douban_anime_votes_douban_log_minmax,douban_anime_douban_anime_comment_count_log_minmax,douban_anime_douban_anime_review_count_log_minmax,douyin_anime_douyin_anime_num_log_minmax,douyin_anime_douyin_anime_likes_log_minmax,douyin_anime_douyin_anime_comments_log_minmax,douyin_anime_douyin_anime_shares_log_minmax,imdb_anime_Sheet1_votes_log_minmax,imdb_anime_Sheet1_rating_minmax,industry_anime_industry_anime_game_count_log_minmax,industry_anime_industry_anime_show_count_log_minmax,industry_anime_industry_anime_work_count_log_minmax,industry_anime_industry_anime_patent_count_log_minmax,tieba_anime_tieba_anime_followers_log_minmax,tieba_anime_tieba_anime_posts_log_minmax,weibo_anime_weibo_anime_posts_minmax
2014MBC演艺大赏,,,,,,,,,,,,,,0.7571428571428572,0.0,0.9619547647592744,0.227670248696953,,,,,,,,,,,,,
23号牛乃唐,,,,,,,,,,,,,,0.7571428571428572,0.0,0.9619547647592744,0.227670248696953,,,,,,,,,,,,,
8号出口 8番出口,,,,,,,,,,,,,,0.5714285714285715,0.6064024635444308,0.9619547647592744,0.227670248696953,,,,,,,,,,,,,
FLUFFY LAND,0.0,0.20187773557734828,0.6507893409610555,0.5450124275341126,0.5837467556780337,0.5119159172979949,0.44659026576045757,0.4705871975266985,0.0,0.0,0.0,0.11153299856249912,0.5097552843886821,0.7571428571428572,0.0,0.9619547647592744,0.227670248696953,0.0,0.3041684960152025,0.2777856472521296,0.21520090843993486,0.0,0.0,0.0,0.0,0.0,0.6488741057899954,0.1786924459589935,0.23011970530059395,0.4
U探泰拉,0.0,0.20187773557734828,0.7910143476701175,0.7300323753175401,0.7208365852499016,0.8084078506706854,0.8514340143903341,0.6662038847318732,1.0,0.6178270446149533,0.0,0.11153299856249912,0.760419247858607,0.7571428571428572,0.0,0.8836714596550068,0.0,0.0,0.4400538058851899,0.3473836785468737,0.3759988711161819,0.7966111371368939,0.7586206896551725,0.0,0.0,0.0,0.9938040759835223,0.0,0.0,0.25
《崩坏：星穹铁道》动画短片：「听！狂欢在那神佑的山巅」,0.0,0.20187773557734828,0.11873788259414576,0.07159906157240449,0.11003020295866757,0.054770787473567485,0.059211831811544505,0.12613690056898313,0.0,0.0,0.0,0.11153299856249912,0.10923535830178097,0.7571428571428572,0.0,0.9619547647592744,0.227670248696953,0.0,0.3041684960152025,0.2777856472521296,0.21520090843993486,0.0,0.0,0.0,0.0,0.0,0.2978207561206809,0.0,0.0,0.25
【无职转生同人动画】血契之约,0.0,0.20187773557734828,0.11873788259414576,0.07159906157240449,0.11003020295866757,0.054770787473567485,0.059211831811544505,0.12613690056898313,0.0,0.0,0.0,0.11153299856249912,0.10923535830178097,0.7571428571428572,0.0,0.9619547647592744,0.227670248696953,0.0,0.3041684960152025,0.2777856472521296,0.21520090843993486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
一,1.0,1.0,0.11873788259414576,0.07159906157240449,0.11003020295866757,0.054770787473567485,0.059211831811544505,0.12613690056898313,0.0,0.0,0.0,0.11153299856249912,0.10923535830178097,0.7571428571428572,0.0,0.9619547647592744,0.227670248696953,0.904477278010831,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.27238656787909016,0.0,0.0,0.6
一一,,,,,,,,,,,,,,0.9142857142857144,0.9221444128926145,0.9619547647592744,0.227670248696953,,,,,,,,,,,,,
一世之尊,0.7952958529027107,0.6248486998813816,0.7236646926659188,0.7114653331563346,0.6994459618927523,0.6740906698387187,0.7162679629298514,0.7375985100641442,0.9393939393939394,0.6570998456612032,0.0,0.1352684552862425,0.7525097668763076,0.7571428571428572,0.0,1.0,0.455340497393906,0.0,0.3041684960152025,0.2777856472521296,0.21520090843993486,0.0,0.0,0.0,0.0,0.0,0.0,0.7139186305102421,0.6941833297158115,0.8
