anime,bilibili_movie_dataall_play_count_plays_log_minmax,bilibili_movie_dataall_followers_followers_log_minmax,bilibili_movie_dataall_likes_interactions_log_minmax,bilibili_movie_dataall_coins_interactions_log_minmax,bilibili_movie_dataall_total_favorite_log_minmax,bilibili_movie_dataall_shares_interations_log_minmax,bilibili_movie_dataall_danmu_interactions_log_minmax,bilibili_movie_dataall_score_ratings_log_minmax,bilibili_movie_creations_creations_log_minmax,bilibili_movie_creations_videos_log_minmax,bilibili_movie_comments_comment_count_log_minmax,movie_imdb_final_new_rating_votes_log_minmax,movie_imdb_final_new_rating_score_minmax,movie_post_count_movie_log_minmax,baidu_movie_index_summary_filled_sum_log_minmax,baidu_movie_index_summary_filled_mean_log_minmax,complete_industry_movie_result_filled_game_count_minmax,complete_industry_movie_result_filled_show_count_minmax,complete_industry_movie_result_filled_work_count_minmax,complete_industry_movie_result_filled_patent_count_log_minmax,douban_movie_final_score_x_minmax,douban_movie_final_votes_douban_log_minmax,douban_movie_final_comment_count_log_minmax,douban_movie_final_review_count_log_minmax,douyin_movie_final_num_log_minmax,douyin_movie_final_likes_log_minmax,douyin_movie_final_comments_log_minmax,douyin_movie_final_shares_log_minmax,tieba_stats_from_excelmovie_new_followers_log_minmax,tieba_stats_from_excelmovie_new_posts_log_minmax
一,0,0.155589963,0.012323637,0.094498732,0.135092805,0.128444143,0,0,0,0,0.520600946,0,0,0.685492462,1,1,1,1,0,0.3446781,0.615384615,0.556996352,1,0.983974444,1,1,0.83281792,0.919534581,0,0
休,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0,0,0,0,0,0.638655803,0.777769418,0.482324954,1,1,0,0.106187893,0.615384615,0.556996352,1,0.983974444,0.797751186,0.687078427,0.610621895,0.645427824,0.359917563,0.379684542
伞少女,0.45076928,0.6868521,0.468571441,0.637773363,0.598574459,0.631299644,0.556426857,0.941654233,0,0,0.719290861,0.305928222,0,0.162421071,0.709756593,0.324120727,1,0,0,0,0.519230769,0.698436892,1,1,0.160533915,0.064502204,0,0.291069539,0.268778131,0.203997014
出口,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0,0,0,0.631147751,0.946666667,0.85443771,0.73735607,0.388285939,0,1,0,0.71366322,0.615384615,0.556996352,1,0.983974444,0.496000618,0.59847992,0.577867327,0.584081614,0.796971718,0.825534126
功夫王,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0,0,0,0,0,0.235115502,0.569363209,0,1,0,0,0,0.615384615,0.556996352,1,0.983974444,0,0.297564512,0.229895085,0.34288944,0.360626052,0.47251442
加菲猫家族,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0,0,0,0,0,0.538232104,0.690930507,0.280392666,0,0,0,0.607853083,0.596153846,0.743510511,1,1,0.274434541,0.701513708,0.656049877,0.736622407,0,0
哪吒,1,0.92486363,1,1,1,1,1,1,0,0,1,0,0,0.85443771,0.960042907,0.906899387,0,0,1,0,0.942307692,1,1,0.983974444,0.709402997,0.881122994,0.758057001,0.812336251,0.720895425,0.625778311
喜羊羊与灰太狼,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0,0,0,0.382621839,0.613333333,0.929730544,0.883648784,0.728913135,1,0,0,0.69482984,0.576923077,0.556996352,1,1,0.160533915,0.539299473,0.507538932,0.653938969,0.921713324,1
嗨！神兽,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0.903353445,0.90634585,0,0,0,0.730335457,0,0.137506735,0,0,0,0.528352977,0.634615385,0.467343937,1,1,0,0.297564512,0.229895085,0.34288944,0,0
四季童年,0.079066608,0.257746158,0.189275826,0.406972879,0.304526149,0.339105644,0.245547424,0,0,0,0.556865659,0,0,0.773347606,0,0.137506735,0,0,0,0,0.615384615,0,1,0.816189304,0,0.297564512,0.229895085,0.34288944,0,0
大雨,0.495353401,0.736059341,0.464216583,0.669416811,0.558069954,0.653108636,0.572799379,0.937159557,0,0,0.733802776,0.48833094,0.466666667,0.929730544,0.748823448,0.414961542,1,0,0,0.663374646,0.519230769,0.721821487,1,1,0.63721727,0.93210391,0.808824241,0.900678181,0.435314355,0.370316475
天降大任,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0,0,0,0,0,0.85443771,0.691471,0.281647525,0,0,0,0,0.634615385,0.599138135,1,1,0,0.3297848,0.148665447,0.341962634,0.191015908,0.279219386
头脑特工队,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0,0,0,0,0,0.85443771,0.82111154,0.583243114,1,0,0,0,0.615384615,0.556996352,1,0.983974444,0.709402997,0.57266403,0.464993609,0.610718591,0.707494039,0.518752134
守龙者,0.145867625,0.279726587,0.102187738,0.16027655,0.224815028,0.263833637,0.385259457,0,0,0,0.575830416,0.556719484,0.76,0.638655803,0.659963273,0.208567758,1,0,0,0,0.442307692,0.543994226,1,0.930593682,0,0.297564512,0.229895085,0.34288944,0.177000766,0.180379916
小诗人,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0,0,0,0.162242614,0,0.685492462,0,0.137506735,0,0.066666667,0,0,1,0.395782289,1,0,0,0.297564512,0.229895085,0.34288944,0.197168827,0.253757392
开心超人,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0,0,0.696284543,0.2460493,0,0.892756528,0.806249659,0.548633391,0,0,0,0,0.615384615,0,1,0.889482754,0.709402997,0.510024801,0.493330326,0.463276021,0.860350321,0.929338557
心源,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0,0,0,0,0,0.814672563,0,0.137506735,1,0,0,0,0.615384615,0,0,0,0,0.297564512,0.229895085,0.34288944,0.191015908,0.227614112
恶兽,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0,0,0,0,0,0.814672563,0,0.137506735,0,0,0,0,0.615384615,0,0.84382973,0.360848807,0.434968456,0.357498122,0.330938089,0.371133813,0.15984762,0.113807056
新大头儿子和小头爸爸,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0,0,0,0,0,1,0,0.137506735,0,0,0,0.123280326,0.153846154,0.493142994,1,0.528633947,0,0.297564512,0.229895085,0.34288944,0.603140882,0.527578956
时间之子,0.32073396,0.482651343,0.355383521,0.54120343,0.483842832,0.543877255,0.556426857,0.963433625,0,0,0.704462861,0.318802441,0.88,0.730335457,0.734048117,0.380592408,0,0,0,0.971495197,0.538461538,0.73114899,1,1,0.36278273,0.64222333,0.530438789,0.646837403,0.342407708,0.267471603
棉花糖和云朵妈妈,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0,0,0,0,0,0.638655803,0.720151734,0.348281014,0,0,0,0.58958697,0.615384615,0,1,0,0,0.297564512,0.229895085,0.34288944,0.275466735,0.237283444
欢乐丛林,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0,0,0,0,0,1,0,0.137506735,0,0,0,0,0.615384615,0.556996352,1,0.983974444,0,0.297564512,0.229895085,0.34288944,0,0
江豚·风时舞,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0,0,0,0.221204259,0,0.965450959,0,0.137506735,0,0,0,0,0,0.530633714,1,1,0,0.297564512,0.229895085,0.34288944,0,0
浪浪山小妖怪,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0,0,0,0,0,0,0,0.137506735,0,0.033333333,0,0.309691149,0.961538462,0.899744734,1,1,0.496000618,0.688187496,0.574767635,0.680256167,0.342407708,0.31780407
熊出没,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0,0,0,0.376121475,0.773333333,0.929730544,0.947854619,0.878501147,1,0,0,0.870268678,0.615384615,0.556996352,1,0.983974444,0.63721727,0.970014081,1,1,0.878060154,0.836089555
猪猪侠大电影·星际行动,0.322860492,0.185723318,0.113570493,0.12990069,0.13963341,0.293005909,0.336395711,0.561031807,0,0,0.587277949,0,0,0.303116602,0,0.137506735,0,0,0,0,0.615384615,0.556996352,1,0.983974444,0,0.297564512,0.229895085,0.34288944,0,0
王牌二哈,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0.740602251,0.95224271,0,0,0,0.814672563,0,0.137506735,0,0,0,0.635195725,0.615384615,0,0.946584532,0,0.434968456,0.040104056,0.148665447,0.318129885,0,0
白蛇：浮生,0.647086645,1,0.631403997,0.810000776,0.723193009,0.775072986,0.778221167,0.988161239,0,0,0.852414073,0,0,1,0,0.137506735,0,0,0,0.693228422,0.673076923,0.837200672,1,1,0,0.313209989,0.246505543,0.478415544,0,0
百变马丁：怪兽大作战,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,1,0.963665313,0,0,0,0.162421071,0,0.137506735,0,0,0,0.696095958,0.615384615,0,1,0.756304196,0,0.297564512,0.229895085,0.34288944,0,0
盒中之海,0.632703925,0.722669683,0.614726232,0.774417042,0.781505366,0.796870989,0.725423116,0.971838869,0,0,0.825463422,0,0,0.773347606,0.621477652,0.119585231,1,0,0,0.90900572,0.5,0.534946364,1,0.983974444,0.548869082,0.119589501,0.162498433,0.291069539,0.191015908,0.159748399
罗小黑战记,0.055684171,0.118455316,0.008115336,0.068041489,0.099404006,0.095310717,0.022454157,0,0,0,0,0,0,0.929730544,0.789796215,0.510323234,0,0,1,0.893397089,0.615384615,0.556996352,1,0.983974444,0,0.297564512,0.229895085,0.34288944,0.878250909,0.787106482
