,sum,mean
玉米的歌声,0.0,40.53349056603774
星期五晚上的胡萝卜,0.0,40.53349056603774
晚高峰,0.0,40.53349056603774
日出原理,0.0,40.53349056603774
明日恐惧症,0.0,40.53349056603774
每天朝山顶推一秒的石头,0.0,40.53349056603774
唤醒石头里存在的生命,0.0,40.53349056603774
洞天,0.0,40.53349056603774
冬日追逐,0.0,40.53349056603774
心奇爆龙战车,55722.0,525.6792452830189
屈原,407267.0,3842.141509433962
卡卡虎大冒险,16261.0,153.4056603773585
妖道至尊,16935.0,159.76415094339623
斗破苍穹,2579653.0,24336.349056603773
毛毛镇,0.0,40.53349056603774
无脑魔女,0.0,40.53349056603774
新大头儿子和小头爸爸 欢乐亲子营,0.0,40.53349056603774
中国畅想曲,0.0,40.53349056603774
棉花糖和云朵妈妈 快乐生活,0.0,40.53349056603774
奇奇和努娜,0.0,40.53349056603774
小绿和小蓝,65636.0,619.2075471698113
怪兽小馆,0.0,40.53349056603774
时光代理人,518401.0,4890.575471698113
四格勇者,0.0,40.53349056603774
第一序列,497512.0,4693.509433962264
镇魂街,277754.0,2620.3207547169814
小鹿蓝蓝,0.0,40.53349056603774
拇指总动员,0.0,40.53349056603774
我玩游戏成了绝世强者,0.0,40.53349056603774
神兽小岛,0.0,40.53349056603774
节气小精灵,0.0,40.53349056603774
异空战歌,0.0,40.53349056603774
巧虎奇幻舞台历险记,0.0,40.53349056603774
少年英雄小哪吒,49098.0,463.188679245283
霸王龙雷奇,2262.0,21.339622641509436
机米和露露,0.0,40.53349056603774
雪王驾到,0.0,40.53349056603774
魔法学院,47701.0,450.00943396226415
如果历史是一群喵,167712.0,1582.188679245283
诸葛亮,628688.0,5931.018867924528
嗨！三宝,0.0,40.53349056603774
凹凸学园,0.0,40.53349056603774
给我来个小狐狸,0.0,40.53349056603774
天界代购店,0.0,40.53349056603774
傲世九重天,138450.0,1306.132075471698
明日方舟：冬隐归路,0.0,40.53349056603774
三十六骑,34688.0,327.24528301886795
都市神医：七个师姐保我无敌,0.0,40.53349056603774
猪猪侠益智课堂,0.0,40.53349056603774
小品一家人,217284.0,2049.849056603773
超变战陀,40787.0,384.7830188679245
正经少主的幸福生活,0.0,40.53349056603774
少年歌行,884940.0,8348.490566037735
钢铁飞龙,79971.0,754.4433962264151
七侯笔录,0.0,40.53349056603774
炫卡斗士,0.0,40.53349056603774
